"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"M9SPLTDV","journalArticle","2019","Toohey, Liam A.; Drew, Michael K.; Finch, Caroline F.; Cook, Jill L.; Fortington, Lauren V.","A 2-Year Prospective Study of Injury Epidemiology in Elite Australian Rugby Sevens: Exploration of Incidence Rates, Severity, Injury Type, and Subsequent Injury in Men and Women","American Journal of Sports Medicine","","03635465","","","Background: Injuries are common in rugby sevens, but studies to date have been limited to short, noncontinuous periods and reporting of match injuries only. Purpose: To report the injury incidence rate (IIR), severity, and burden of injuries sustained by men and women in the Australian rugby sevens program and to provide the first longitudinal investigation of subsequent injury occurrence in rugby sevens looking beyond tournament injuries only. Study Design: Descriptive epidemiology study. Methods: Ninety international rugby sevens players (55 men and 35 women) were prospectively followed over 2 consecutive seasons (2015-2016 and 2016-2017). All medical attention injuries were reported irrespective of time loss. Individual exposure in terms of minutes, distance, and high-speed distance was captured for each player for matches and on-field training, with the use of global positioning system devices. The IIR and injury burden (IIR × days lost to injury) were calculated per 1000 player-hours, and descriptive analyses were performed. Results: Seventy-three players (81.1%) sustained 365 injuries at an IIR of 43.2 per 1000 player-hours (95% CI, 43.0-43.3). As compared with male players, female players experienced a lower IIR (incidence rate ratio, 0.91; 95% CI, 0.90-0.91). Female players also sustained a higher proportion of injuries to the trunk region (relative risk, 1.75; 95% CI, 1.28-2.40) but a lower number to the head/neck region (relative risk, 0.58; 95% CI, 0.37-0.93; P =.011). The majority (80.7%) of subsequent injuries were of a different site and nature than previous injuries. A trend toward a reduced number of days, participation time, distance, and high-speed distance completed before the next injury was observed after successive injury occurrence. Conclusion: Female players have a lower IIR than male players, with variation of injury profiles observed between sexes. With a surveillance period of 2 years, subsequent injuries account for the majority of injuries sustained in rugby sevens, and they are typically different from previous types of sustained injuries. After each successive injury, the risk profile for future injury occurrence appears to be altered, which warrants further investigation to inform injury prevention strategies in rugby sevens. ABSTRACT FROM AUTHOR","2019","2020-05-20 00:07:02","2020-05-20 00:07:02","","1302-1311","","6","47","","","","","","","","","","","","","","","sph","","","","","https://gateway.library.qut.edu.au/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=136492898&site=ehost-live&scope=site","*ANKLE injuries; *BRAIN concussion; *ELITE athletes; *FOOT injuries; *GLOBAL Positioning System; *HAMSTRING muscle injuries; *HEAD injuries; *INJURY risk factors; *KNEE injuries; *NECK injuries; *PHYSICAL training & conditioning; *RUGBY football injuries; *SPORTS participation; *TORSO; athletic injuries; AUSTRALIA; COMPARATIVE studies; CONFIDENCE intervals; DATA analysis software; DESCRIPTIVE statistics; EPIDEMIOLOGICAL research; epidemiology; FISHER exact test; LONGITUDINAL method; ODDS ratio; POISSON distribution; prospective studies; PSYCHOSOCIAL factors; RELATIVE medical risk; RESEARCH funding; RESEARCH methodology; RISK assessment; SEVERITY of illness index; SEX distribution; sports; sports medicine; STATISTICAL significance; TIME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XCZ7FIPT","journalArticle","2019","Lin, X. Z.","A 3D moving image pose parameter measurement method of healthy football training","Basic and Clinical Pharmacology and Toxicology","","1742-7843","","","Objectives: With people's desire for their own health and love for football, various kinds of research on football sports are more in-depth. In order to respond to the requirements of international health, this paper takes football as the foundation, joins the technical theory, and provides the theoretical basis for healthy football training. Methods: Based on taking the ball actions in the football training subject, a real-time multi-person pose estimation model in the paper is presented. The top-down frame model mainly includes four parts: human body detection, STM model and SDTM model, pose estimation model and pose back propagation model, and pose non-maximum suppression model. The pose with the highest confidence is selected as a reference, and then the elimination principle is redefined to remove the area box near the area. Results: Through experimental comparison, the various components of football players' movements are analyzed. Compared with the Kalman method and the Fourier method, the reconstruction results of the proposed method are the closest to the actual results. Conclusions: The accuracy of the research method in the measurement of pose parameters of 3D moving images is verified, which provides technical support for human body pose control and adjustment in sports.","2019","2020-05-20 00:07:03","2020-05-20 00:07:03","","19-20","","","125","","","","","","","","","","English","","","","","Embase","","","","","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L631581944","adult; back propagation; conference abstract; female; football player; human; human experiment; male; public health; theoretical study","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEP5QP8X","journalArticle","2019","Sugrue, G.; Crockett, M. T.; Byrne, A.; McLoughlin, R.; Maguire, S.; Gilligan, P.; Kavanagh, E. C.; Eustace, S. J.","A 5-year review of a pitch side radiology unit at an international sports stadium","Irish Journal of Medical Science","","1863-4362 0021-1265","10.1007/s11845-019-02013-8","","Background: The increased strength and conditioning of elite athletes has led to greater potential for high impact injuries. With increasing concerns for player welfare, the decision to return to play after sustaining an on-field injury is complex. Aim: Review of a 5-year experience of a pitch side radiology unit (PSRU) at a large international sports stadium. Methods: X-rays were acquired in a purpose built pitch side radiology unit (PSRU) within a large international sports stadium (Aviva Stadium) using a mobile digital X-ray unit. All x-rays were performed at the Aviva stadium’s PSRU from October 2012 to March 2018. Results: From October 2012 to March 2018, 89 competitive sport matches were held at the international sports stadium. 43/89 (48%) matches required the PSRU, with rugby matches having the highest utilization rates (34/47, 72.3%). In 89 matches, a total of 79 x-rays were performed (0.89 x-rays/match). The highest percentage of sports players undergoing imaging was rugby players (70/79, 88.6%). Overall, the majority of x-rays were of the upper limbs (49/79, 62.0%) and lower limbs (25/79, 31.6%). 17/79 (21.5%) x-rays demonstrated an acute bony injury, 15/17 (88%) of which were rugby players. Conclusion: The PSRU at the Aviva international sports stadium is well utilized and allows for a rapid diagnosis of osseous injuries sustained on the field of play. It provides a useful adjunct to the pitch side clinical assessment by medical staff. It provides a privacy and strategic advantage to players compared with hospital-based services. Consideration should be given to installing similar PSRUs at major sports stadiums around the world.","2019","2020-05-20 00:07:04","2020-05-20 00:07:04","","1391-1395","","4","188","","","","","","","","","","English","","","","","Embase Medline","","","","; ","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L627323973; http://dx.doi.org/10.1007/s11845-019-02013-8","human; article; bone injury; bone radiography; distal radius fracture; elite athlete; football; lower limb; metacarpal bone fracture; phalanx fracture; proximal humerus fracture; rib fracture; rugby; soccer; soccer player; sport injury; tibia fracture; upper limb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MGMV23R2","journalArticle","2019","Simón, Juan Antonio; García-Martí, Carlos","1982 FIFA World Cup: from Spain's struggle for democratic legitimacy to Italy's rediscovery of football nationalism","Soccer & Society","","14660970","","","One of the most memorable moments in the World Cups history is Marco Tardelli's second goal in Italy's win over Germany in the 1982 World Cup finals. Better known as Tardelli's scream, it is thus a perfect object to analyse in order to understand football's deeper social meanings and its political and cultural undertones, in this case both for the World Cup champions, Italy, and for the host country, Spain. In the Spanish case, organizing the World Cup was a huge political opportunity for the just restored democracy to showcase to the world a modern and pluralistic society leaving behind the authoritarian and outdated dictatorship. As for Italy, their first World Cup winning since World War II was heavily politically used by actors across the political spectrum. Such nationalistic approach constituted a novelty after decades of a low profile national discourse. ABSTRACT FROM AUTHOR","2019","2020-05-20 00:07:05","2020-05-20 00:07:05","","948-959","","7/8","20","","","","","","","","","","","","","","","sph","","","","","https://gateway.library.qut.edu.au/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=139617841&site=ehost-live&scope=site","*FOOTBALL; DEMOCRACY; DICTATORSHIP; POLITICAL opportunity theory; WORLD War II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LNIBK457","journalArticle","2019","Zemski, Adam J.; Keating, Shelley E.; Broad, Elizabeth M.; Marsh, Damian J.; Slater, Gary J.","Abdominal adiposity distribution in elite rugby union athletes using magnetic resonance imaging","Sport Sciences for Health","","18247490","","","Purpose: This study aimed to assess visceral adipose tissue (VAT), an established marker for cardiometabolic complications, in elite rugby union athletes, with specific consideration given to ethnicity. The ability of dual-energy X-ray absorptiometry (DXA) to estimate VAT in athletic populations compared to the criterion magnetic resonance imaging (MRI) was also explored. Methods: Thirty elite male rugby union athletes (age 23.9 ± 4.0 years; stature 186.7 ± 7.0 cm; mass 101.9 ± 11.2 kg) underwent assessment via DXA for body composition, and MRI for abdominal adiposity, at the start of the pre-season training period. Participants were ascribed a specific ethnicity when three or more of their grandparents were of either Caucasian or Polynesian descent. Results: MRI VAT did not differ between ethnicities (Caucasian 92.7 ± 26.7 cm2; Polynesian 86 ± 27.3 cm2; p = 0.52); however, there was a trend for forwards (96.7 ± 25.0 cm2) to have higher VAT than backs (81.7 ± 27.3 cm2; p = 0.13) which provides an area of interest for researchers. Thirty-seven percent of athletes (eight forwards, three backs) were found to have VAT > 100 cm2, a threshold for increased cardiometabolic risk within the general population. Bland–Altman analysis indicated that DXA VAT underestimated MRI VAT by ~ 25 cm2, with relatively wide limits of agreement (− 24.0 to 75.6 cm2). Conclusions: Given the size of rugby union athletes, and the association between elevated VAT and cardiometabolic complications in ""supersized"" athletes from other sports, further investigation into VAT and other markers of cardiometabolic disease in rugby union populations is warranted. Further, DXA was found to underestimate VAT compared to the criterion MRI in this athletic population. ABSTRACT FROM AUTHOR","2019","2020-05-20 00:07:05","2020-05-20 00:07:05","","99-107","","1","15","","","","","","","","","","","","","","","sph","","","","","https://gateway.library.qut.edu.au/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=135661663&site=ehost-live&scope=site","*MAGNETIC resonance imaging; *RUGBY Union football players; ABDOMINAL adipose tissue; Body composition; Caucasian; Ethnicity; Obesity; Polynesian; VAT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IA67VUL3","journalArticle","2019","Cournoyer, J.; Hoshizaki, T. B.","Abnormal Motor Response Associated With Concussive Injuries: Biomechanical Comparison Between Impact Seizures and Loss of Consciousness","Journal of athletic training","","1938-162X","10.4085/1062-6050-253-18","","CONTEXT: Loss of consciousness (LOC) and impact seizures associated with concussion represent different clinical presentations of concussion; however, they are often investigated and treated similarly. The biomechanical parameters differentiating these 2 distinct signs of injury are poorly described. OBJECTIVE: To differentiate between cases of concussions with LOC and those with impact seizures by comparing the impact velocity, peak linear and peak rotational acceleration, as well as brain tissue deformation in the cerebral cortex, white matter, brainstem, cerebellum, thalamus, and corpus callosum. DESIGN: Descriptive laboratory study. PATIENTS OR OTHER PARTICIPANTS: Elite American football players who sustained an LOC (n = 20) or impact seizures (n = 21). MAIN OUTCOME MEASURE(S): Impact velocity, peak linear and peak rotational acceleration, maximum principal strain, cumulative strain damage measure at 10%, and strain rate (SR). RESULTS: The SR in the cerebral white matter was greater in the LOC group than in the impact-seizure group. Similar trends were observed for SRs in the cerebral cortex, brainstem, and corpus callosum. No differences were present between groups for the other variables in this study. CONCLUSIONS: A lower SR in certain brain regions helps to explain why motor function is preserved and can be observed in patients with impact seizures versus LOC from concussive injuries.","2019","2020-05-20 00:07:06","2020-05-20 00:07:06","","765-771","","7","54","","","","","","","","","","English","","","","","Medline","","","","; ","http://dx.doi.org/10.4085/1062-6050-253-18; http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L628900687","human; male; football; injury; pathophysiology; acceleration; biomechanics; brain; brain concussion; traumatic epilepsy; unconsciousness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8NJELTDR","journalArticle","2019","Lathlean, T. J. H.; Gastin, P. B.; Newstead, S. V.; Finch, C. F.","Absolute and Relative Load and Injury in Elite Junior Australian Football Players Over 1 Season","International journal of sports physiology and performance","","1555-0273","10.1123/ijspp.2019-0100","","PURPOSE: To investigate the association between training and match loads and injury in elite junior Australian football players over 1 competitive season. METHODS: Elite junior Australian football players (n = 290, age 17.7 [0.3] y, range 16-18 y) were recruited from the under-18 state league competition in Victoria to report load and injury information. One-week load (session rating of perceived exertion multiplied by duration) and all time-loss injuries were reported using an online sport-injury surveillance system. Absolute load measures (weekly sums) enabled the calculation of relative measures such as the acute:chronic workload ratio. Load measures were modeled against injury outcome (yes/no) using a generalized estimating equation approach, with a 1-wk lag for injury. RESULTS: Low (<300 arbitrary units [au]) and high (>4650 au) 1-wk loads were associated with significantly higher risk of injury. Furthermore, low (<100 au) and high (>850 au) session loads were associated with a higher risk of injury. High strain values (>13,000) were associated with up to a 5-fold increase in the odds of injury. There was a relatively flat-line association between the acute:chronic workload ratio and injury. CONCLUSIONS: This study is the first investigation of elite junior athletes demonstrating linear and nonlinear relationships between absolute and relative load measures and injury. Coaches should focus player loads on, or at least close to, the point at which injury risk starts to increase again (2214 au for 1-wk load and 458 au for session load) and use evidence-based strategies across the week and month to help reduce the risk of injury.","2019","2020-05-20 00:07:08","2020-05-20 00:07:08","","1-9","","","","","","","","","","","","","English","","","","","Medline","","","","; ","http://dx.doi.org/10.1123/ijspp.2019-0100; http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L629471699","football player; human; article; sport injury; exercise; calculation; controlled study; incidence; major clinical study; prospective study; season; team sport; workload","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U4PY2LPN","journalArticle","2019","Hada, S.; Seto, H.; Kaketa, T.; Nagayama, M.; Kawasaki, T.; Takazawa, Y.; Tomita, Y.; Kaneko, K.","Accelerated Return to Play for Professional Rugby Players After Facial Fractures","The Journal of craniofacial surgery","","1536-3732","10.1097/SCS.0000000000005138","","BACKGROUND: Facial fractures may result in a significant time away from competition for professional rugby players. An understanding of the return-to-play times is an integral part of clinical decision making when treating professional athletes. A period of 8 to 12 weeks has been conventionally recommended for returning to collision sports after facial fractures. The conventional time to return to sports of 8 to 12 weeks is usually too long for professional players. However, the time of return to play after such facial fractures in elite athletes has not been well described. PURPOSE: To investigate the return to play after facial fractures in professional rugby players with an accelerated rehabilitation protocol. METHODS: Ten professional rugby players with facial fractures were identified and analyzed. The authors investigated the number of days required to return to training and full-contact play according to the trauma type. The authors also determined the presence or absence of refractures and sequelae. RESULTS: The average age of the patients was 26.9 years. Medial orbital wall fractures were the most represented pattern, followed by orbital floor fractures and zygomatic arch fractures. The players returned to jogging after 9.9 days, to sports-specific training after a mean of 10.8 days, and to full-contact training after 18.3 days. There were no cases of refractures and sequelae. CONCLUSION: Players were able to return to their regular rugby activities, earlier than the time commonly allowed to return to full activity.","2019","2020-05-20 00:07:09","2020-05-20 00:07:09","","1121-1124","","4","30","","","","","","","","","","English","","","","","Medline","","","","; ","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L628169580; http://dx.doi.org/10.1097/SCS.0000000000005138","adult; human; football; facial bone; injuries; return to sport; skull fracture; statistics and numerical data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UV4CIN88","journalArticle","2019","Ugalde-Ramírez, J. A.; Rivas-Borbón, O. M.; Rojas-Valverde, D.","ACCIONES TÉCNICO-TÁCTICAS, FACTORES CONTEXTUALES Y RENDIMIENTO DEPORTIVO DE LOS EQUIPOS DE CONCACAF DURANTE LA CLASIFICACIÓN A RUSIA 2018. / TECHNICAL-TACTICAL ACTIONS, CONTEXTUAL FACTORS AND SPORT PERFORMANCE OF CONCACAF TEAMS DURING CLASSIFICATION TO RUSSIA 2018","Revista Iberoamericana de Ciencias de la Actividad Física y el Deporte","","22550461","","","The objective of this study was to determine which technical-tactical actions and contextual factors were related to the sports performance of the CONCACAF national teams during the qualifying phase of the 2018 World Cup Russia. The statistics of the 10 matches played by each of 6 national teams team were used (30 matches, 60 observations). The results indicate that the technical-tactical actions that were related to the sport performance and that differentiated the classified and unclassified teams, as well as the teams that obtained victories with the that tied or lost, were: the goals, shots on target, passes, and possession of the ball, also these teams got more victories when playing from home. In conclusion, the technical-tactical actions related to performance coincide with those reported in the literature, moreover, the fact of playing at home represented an advantage for the teams. ABSTRACT FROM AUTHOR El objetivo de este estudio fue determinar cuáles acciones técnico-tácticas y factores contextuales se relacionaron con el rendimiento deportivo de las selecciones absolutas de CONCACAF durante la fase clasificatoria a la Copa Mundial de Rusia 2018. Se utilizaron las estadísticas de los 10 partidos jugados por cada una de los 6 equipos nacionales (30 partidos, 60 observaciones). Los resultados indican que las acciones técnico-tácticas que se relacionaron con el rendimiento y que diferenciaron a los equipos clasificados y no clasificados, así como a los equipos que obtenían victorias con los que empataban o perdían, fueron: los goles, remates a marco realizados, pases, y posesión de balón, asimismo estos equipos consiguieron mayor cantidad de victorias cuando jugaban de locales. En conclusión, las acciones técnico-tácticas relacionadas con el rendimiento coinciden con las reportadas en la literatura, además, el hecho de jugar de local representó una ventaja para los equipos. ABSTRACT FROM AUTHOR","2019","2020-05-20 00:07:10","2020-05-20 00:07:10","","27-38","","1","8","","","","","","","","","","","","","","","sph","","","","","https://gateway.library.qut.edu.au/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=135704185&site=ehost-live&scope=site","soccer; *SPORTS; competición; competition; CONFEDERATION of North, Central American & Caribbean Association Football (CONCACAF); DRINKING cups; fútbol; indicadores; indicators; performance; PERSONAL property; rendimiento; RUSSIA; STATISTICS; TEAMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T6UDV9H3","journalArticle","2019","McCunn, Robert; Blackburne, Colin; Newton, Florence; Carroll, Noel; Bakken, Arnhild; Ryan, Desmond; McCall, Alan","Accounting for multiple injuries does not improve the Functional Movement Screen (FMS™) as a tool to identify injury risk among English Premier League academy football players: a 3-season prospective cohort study","Science & Medicine in Football","","24734446","","","Purpose: The aim of the present study was to investigate the relationship between FMS™ score and non-contact injury while accounting for participant exposure and multiple injuries to the same player. Materials and methods: Sixty-four players were screened during the preseason period with non-contact injuries and exposure time recorded prospectively for the entirety of three consecutive seasons (2014/15, 2015/16 and 2016/17). One-hundred and eighteen player-season observations were included in the analysis. Generalized estimating equations (GEE) were utilized to explore associations between FMS™ composite, individual sub-test scores, the number of sub-test asymmetries and non-contact injury. Results: The FMS™ composite score demonstrated a likely trivial (IRR: 1.05 95%CI: 0.94–1.17) association with non-contact injury. The number of individual sub-test asymmetries and all of the sub-test scores (with the exception of the hurdle step, IRR: 1.58 95%CI: 0.99–2.52) demonstrated unclear associations with non-contact injury. Conclusions: No associations with non-contact injury were observed for the FMS™ composite score, individual sub-test scores or the number of sub-test asymmetries, even when accounting for exposure and multiple injuries to the same player. Practical implications: The FMS™ composite score is likely not useful for injury risk stratification, nor are the individual sub-tests or the number of asymmetries. ABSTRACT FROM AUTHOR","2019","2020-05-20 00:07:10","2020-05-20 00:07:10","","251-254","","3","3","","","","","","","","","","","","","","","sph","","","","","https://gateway.library.qut.edu.au/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=137542283&site=ehost-live&scope=site","soccer; adolescent; elite; risk; Screening","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
