"","Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Extra","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body","sampled"
"1","W8WWUZV3","journalArticle",2019,"Adebayo, Kudus Oluwatoyin; Falase, Olugbenga Samuel; Akintunde, Abel","'Here, we are all equal!': soccer viewing centres and the transformation of age social relations among fans in South-Western Nigeria","Soccer & Society",NA,"14660970","",NA,"The spread of soccer viewing centres (SVCs) in Nigeria is one of the unfolding legacies of global sporting media in Africa. While, providing access to live broadcast of European soccer competitions, SVCs have developed into supplementary social spaces where culturally defined rules of social relations are contested. Using Goffman's notion of performance and Agbalagba in Yoruba normative system, in conjunction with sociological perspective on space, the study explores the context and processes in the transformation of age social relations in Ibadan, South-Western Nigeria. Data were obtained through participant observation, and 23 in-depth interviews with viewing centre owners and soccer fans. Findings depict the SVC as a constructed space, with conflicting meanings, attitudes and practices, which inadvertently fracture and render fluid, the expectations of norms of age social relations. In conclusion, European soccer drives the spread of supplementary social spaces which impact local social structures in critical ways. ABSTRACT FROM AUTHOR","2019","2020-05-20 00:24:28","2020-05-20 00:24:28",NA,"360-376",NA,"2","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"sph",NA,NA,NA,"","https://gateway.library.qut.edu.au/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=134346524&site=ehost-live&scope=site","*SOCCER tournaments; *SPORTS spectators; *SOCCER fans; *TELEVISED sports; NIGERIA; *SOCCER -- Broadcasting; *SPORTS -- Social aspects",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2","LRW798RR","journalArticle",2019,"Lacome, Mathieu; Peeters, Alexis; Mathieu, Bertrand; Bruno, Marrier; Christopher, Carling; Piscione, Julien","Can we use GPS for assessing sprinting performance in rugby sevens? A concurrent validity and between-device reliability study","Biology of Sport",NA,"0860021X","",NA,"The purpose of this study was to (1) provide data on maximal sprinting speed (MSS) and maximal acceleration (Amax) in elite rugby sevens players measured with GPS devices, (2) test the concurrent validity of the signal derived from a radar device and a commercially available 16 Hz GPS device, and (2) assess the betweendevice reliability of MSS and Amax of the same GPS. Fifteen elite rugby sevens players (90 ± 12 kg; 181 ± 8 cm; 26 ± 5 y) participated in the maximal sprinting test. A subset of five players participated in the concurrent validity and between-devices reliability study. A concurrent validity protocol compared the GPS units and a radar device (Stalker ATS II). The between-device reliability of the GPS signal during maximal sprint running was also assessed using 6 V2 GPS units (Sensoreverywhere, Digital Simulation, Paris, France) attached to a custom-made steel sled and pushed by the five athletes who performed a combined total of 15 linear 40m sprints. CV ranged from 0.5, ±0.1 % for MSS and smoothed MSS to 6.4, ±1.1 % for Amax. TEM was trivial for MSS and smoothed MSS (0.09, ±0.01) and small for Amax and smoothed Amax (0.54, ±0.09 and 0.39, ±0.06 respectively). Mean bias ranged from -1.6, ±1.0 % to -3.0, ±1.1 % for smoothed MSS and MSS respectively. TEE were small (2.0, ±0.55 to 1.6, ±0.4 %, for MSS and smoothed MSS respectively. The main results indicate that the GPS units were highly reliable for assessing MSS and provided acceptable signal to noise ratio for measuring Amax, especially when a smoothing 0.5-s moving average is used. This 16 Hz GPS device provides sport scientists and coaches with an accurate and reliable means to monitor running performance in elite rugby sevens. ABSTRACT FROM AUTHOR","2019","2020-05-20 00:09:59","2020-05-20 00:09:59",NA,"25-29",NA,"1","36",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"sph",NA,NA,NA,"","https://gateway.library.qut.edu.au/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=133682358&site=ehost-live&scope=site","*ELITE athletes; *GLOBAL Positioning System; *SPRINTING; *ATHLETIC ability; *RUGBY football; *ACCELERATION (Physiology); *BODY weight; *COACHES (Athletics); *NOISE; *RUNNING; *STATURE; Elite rugby sevens; Global positioning system; MEDICAL equipment reliability; MEDICAL protocols; Reliability; RESEARCH methodology evaluation; SCIENTISTS; Sprint assessment; TELECOMMUNICATION; Validity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3","2V65PFKA","journalArticle",2019,"Figueiredoa, D. H.; Figueiredo, D. H.; Manoel, F. A.; Gonçalves, H. R.; Dourado, A. C.","Coaches' and Young soccer players' training load perceptions during different training phases. / Percepciones de la carga de entrenamiento de entrenadores y jóvenes jugadores de fútbol durante diferentes fases de entrenamiento","Revista Andaluza de Medicina del Deporte",NA,"18887546","",NA,"Objective: To our Knowledge, information about the agreement between coaches and the young soccer players' session rating of perceived exertion is not consistent during specific periods of training (intensification and taper) and has not been established. The purpose of this study was to examine and compare the internal training load and session rating of perceived exertion between coaches' and young soccer players' during three weeks in different training phases. Method: Participants were 16 male elite Under19 soccer players and their coaches. Before each training session, the coaches reported a session rating of perceived exertion using the Borg CR-10 scale as well as the planned duration (min) of the training based on prior planning, while the athletes responded the scale after each training session. Results: No differences in intensity session rating of perceived exertion (t = 0.49; p = 0.62) and training load (t = 0.18; p = 0.86) were observed between coaches and players during the training period analyzed. During different training phases, no significant differences were found during intensification (t = 0.18; p = 0.85) and taper (t = -0.19; p = 0.85) in training loads and in the session rating of perceived exertion prescribed by coaches and perceived by players. A very large correlation was observed between coaches training load (r= 0.84) and players training load. However, a trivial correlation was found between players training load and changes in the Yo-yo IR1 performance (r= -0.09), age (r= -0.06) and years of competitive experience (r= -0.08). Stepwise linear regression revealed that coaches training load (F1; 238= 582.7; R2= 0.710; p<0.001) explained 71% of the variance in players training load. Conclusion: The results suggest that the session rating of perceived exertion and training load prescribed during three weeks in different training phases (by coaches) was not different from perceived by young soccer players. Moreover, coaches training load seem to be effective to predict the training load in soccer players. ABSTRACT FROM AUTHOR Objetivo: En nuestro conocimiento, la información sobre la concordáncia entre la percepción subjetiva del esfuerzo durante el entrenamiento de entrenadores y de jóvenes julgadores de fútbol, durante los períodos específicos de entrenamiento (intensificación y reducción de cargas), no se ha establecido. El propósito de este estudio fue examinar y comparar la carga interna de entrenamiento y la percepción subjetiva del esfuerzo durante el entrenamiento entre los entrenadores y jóvenes jugadores de fútbol durante tres semanas en diferentes fases de formación. Método: Participaron 16 jugadores de fútbol sub19 y sus entrenadores. Antes de cada sesión de entrenamiento, los entrenadores informaron una clasificación del esfuerzo de sesión percibido usando la escala Borg CR-10 así como la duración planificada (min) de la capacitación basada en la planificación previa, mientras que los atletas respondieron la escala después de cada sesión de entrenamiento. Resultados: No se observaron diferencias en la percepción subjetiva del esfuerzo durante el entrenamiento (t = 0.49; p = 0.62) y la carga de entrenamiento (t = 0.18; p = 0.86) entre el entrenador y los jugadores durante el período de entrenamiento analizado. Durante las diferentes fases de entrenamiento no se encontraron diferencias significativas durante la intensificación (t = 0.18; p = 0.85) ni la reducción de cargas (t = -0.19; p = 0.85), en las cargas de entrenamiento y en la percepción subjetiva del esfuerzo, durante el entrenamiento prescrito por el entrenador y percibido por los julgadores. Se observaron correlaciones muy grandes entre la carga de entrenamiento de los entrenadores (r = 0.84) y la carga de entrenamiento de los jugadores. Sin embargo, se encontró una correlación trivial entre la carga de entrenamiento de los jugadores y los cambios en el rendimiento del Yo-yo IR1 (r = -0.09), edad (r = -0.06) y años de experiencia competitiva (r = -0.08). La regresión lineal múltiple reveló que la carga de entrenamiento de los entrenadores (F1; 238 = 582.7, R2 = 0.710, p <0.001) explicó el 71% de la varianza en la carga de entrenamiento de los jugadores.Los resultados sugieren que la percepcion subjetiva del esfuerzo durante el entrenamiento prescrito durante tres semanas, en diferentesfases de entrenamiento, no fue diferente de lo percibido por los jugadores jovenes de futbol. Ademas, la carga de entrenamiento de los entrenadores parece ser eficaz para predecir la carga de entrenamiento en estos jugadores. ABSTRACT FROM AUTHOR","2019","2020-05-20 00:11:05","2020-05-20 00:11:05",NA,"336-341",NA,"4","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"sph",NA,NA,NA,"","https://gateway.library.qut.edu.au/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=141376186&site=ehost-live&scope=site","*ATHLETES; *SOCCER players; Team sport; *SOCCER coaches; RATE of perceived exertion; *MALE athletes; Training load; *TRAINING of soccer players; Carga entrenamiento; Carga treinamento; Deporte equipo; Esporte equipe; Monitoramento treinamento; Monitorizacion entrenamiento; Percepcao Subjetiva Esforco; Percepcao Subjetiva Esforco sessao; Percepcion Subjetiva Esfuerzo; Percepcion Subjetiva Esfuerzo sesion; Rating Perceived Exertion; Rating Perceived Exertion Session; Training monitoring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4","MG5XI5P4","journalArticle",2019,"Rafferty, J.; Ranson, C.; Oatley, G.; Mostafa, M.; Mathema, P.; Crick, T.; Moore, I. S.","On average, a professional rugby union player is more likely than not to sustain a concussion after 25 matches","British journal of sports medicine",NA,"1473-0480","10.1136/bjsports-2017-098417",NA,"OBJECTIVES: To investigate concussion injury rates, the likelihood of sustaining concussion relative to the number of rugby union matches and the risk of subsequent injury following concussion. METHODS: A four-season (2012/2013-2015/2016) prospective cohort study of injuries in professional level (club and international) rugby union. Incidence (injuries/1000 player-match-hours), severity (days lost per injury) and number of professional matches conferring a large risk of concussion were determined. The risk of injury following concussion was assessed using a survival model. RESULTS: Concussion incidence increased from 7.9 (95% CI 5.1 to 11.7) to 21.5 injuries/1000 player-match-hours (95% CI 16.4 to 27.6) over the four seasons for combined club and international rugby union. Concussion severity was unchanged over time (median: 9 days). Players were at a greater risk of sustaining a concussion than not after an exposure of 25 matches (95% CI 19 to 32). Injury risk (any injury) was 38% greater (HR 1.38; 95% CI 1.21 to 1.56) following concussion than after a non-concussive injury. Injuries to the head and neck (HR 1.34; 95% CI 1.06 to 1.70), upper limb (HR 1.59; 95% CI 1.19 to 2.12), pelvic region (HR 2.07; 95% CI 1.18 to 3.65) and the lower limb (HR 1.60; 95% CI 1.21 to 2.10) were more likely following concussion than after a non-concussive injury. CONCLUSION: Concussion incidence increased, while severity remained unchanged, during the 4 years of this study. Playing more than 25 matches in the 2015/2016 season meant that sustaining concussion was more likely than not sustaining concussion. The 38% greater injury risk after concussive injury (compared with non-concussive injury) suggests return to play protocols warrant investigation.","2019","2020-05-20 00:33:49","2020-05-20 00:33:49",NA,"969-973",NA,"15","53",NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,"Medline",NA,NA,NA,"; ","http://dx.doi.org/10.1136/bjsports-2017-098417; http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L628779853","human; male; football; sport injury; injury; brain concussion; incidence; prospective study; season; physiology; competitive behavior; recurrent disease; severity of illness index; Wales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5","B6DCRUZY","journalArticle",2019,"Turan, Ömer; Özçetin, Burak","Football fans and contentious politics: The role of Çarşı in the Gezi Park protests","International Review for the Sociology of Sport",NA,"10126902","",NA,"This article problematizes the role played by a football fan club—Çarşı—in one of the largest social movements in Turkish political history, the Gezi Park protests of June 2013. The authors suggest that as ""unusual suspects"" in social movements, Çarşı's role in the Gezi Park protests can be understood with the conceptual toolbox provided by theories of contentious politics. Since action repertoires, or ""known sequences for acting together,"" are key to contentious politics and social movements, Çarşı's organized and effective performance during the Gezi Park protests shows how previous encounters with the police can be decisive in terms of social upheavals. This study suggests that Çarşı members, who were already accustomed to making ethical judgments on a variety of issues both political and non-political, should be taken as a prominent example of how supporters on terraces and fan clubs facilitate the framing processes described by the social movement literature. ABSTRACT FROM AUTHOR","2019","2020-05-20 00:22:58","2020-05-20 00:22:58",NA,"199-217",NA,"2","54",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"sph",NA,NA,NA,"","https://gateway.library.qut.edu.au/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=135206617&site=ehost-live&scope=site","*FOOTBALL fans; *FAN clubs; Çarşı; contentious politics; football fans; Gezi Park protests; GEZI Park Protests, Turkey, 2013; POLICE; SOCIAL movements",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"6","VYNDH87P","journalArticle",2019,"Khalaf, Y. A.; Waga, I. Y.","Evaluate the level of application of sports marketing practices for the first iraqi football clubs","Indian Journal of Public Health Research and Development",NA,"0976-5506 0976-0245","10.5958/0976-5506.2019.01662.0",NA,"The present paper aims to identify the role of sports marketing in developing the performance of the administrative corporations of the Iraqi football Premier League clubs. A survey descriptive method has been used due to its relevance to the research problem and aims. The sample is composed of members of the administrative corporations of the Iraqi football Premier League clubs for the 2017 - 2018 season. The total sample consisted of (101) members elicited from 19 sports clubs; it was selected in a deliberate manner, as it is representative for the whole sample according to three variables (job status, academic qualification, and years of experience in administrative work). It was found that the measure of sports marketing was accepted and expressed in terms of sports marketing practices from the point of view of employees in the football Premier League clubs, and that all staff members have a positive attitude towards sports marketing. It was recommended that it is needful to benefit from the scale of sports marketing and apply it to different samples and raise the grants offered to sports clubs to carry out their various activities and achieve their marketing objectives and to conduct studies and research in the field of marketing sports in Iraq and its novelty and modernity of this field in Iraqi sports sector.","2019","2020-05-20 00:20:38","2020-05-20 00:20:38",NA,"734-739",NA,"7","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,"Embase",NA,NA,NA,"; ","http://dx.doi.org/10.5958/0976-5506.2019.01662.0; http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L2002832130","human; article; football; season; staff; employee; Iraq; marketing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"7","5CJIPKXL","journalArticle",2019,"Cholerton, R.; Breckon, J.; Butt, J.; Quirk, H.","Experiences Influencing Walking Football Initiation in 55- to 75-Year-Old Adults: A Qualitative Study","Journal of aging and physical activity",NA,"1543-267X","10.1123/japa.2019-0123",NA,"Adults aged 55 and older are least likely to play sport. Despite research suggesting this population experiences physical and psychological benefits when doing so, limited research focuses on older adult sport initiation, especially in ""adapted sports"" such as walking football. The aim of this study was to explore initiation experiences of walking football players between 55 and 75 years old. Semistructured interviews took place with 17 older adults playing walking football for 6 months minimum (Mage = 64). Inductive analysis revealed six higher order themes representing preinitiation influences. Eight further higher order themes were found, relating to positive and negative experiences during initiation. Fundamental influences preinitiation included previous sporting experiences and values and perceptions. Emergent positive experiences during initiation included mental development and social connections. Findings highlight important individual and social influences when initiating walking football, which should be considered when encouraging 55- to 75-year-old adults to play adapted sport. Policy and practice recommendations are discussed.","2019","2020-05-20 00:21:24","2020-05-20 00:21:24",NA,"1-13",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,"Medline",NA,NA,NA,"; ","http://dx.doi.org/10.1123/japa.2019-0123; http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L630179838","adult; female; football player; human; human experiment; male; article; soccer; walking; perception; semi structured interview; aged; qualitative research; mental development; qualitative analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"8","KA3DMHMG","journalArticle",2019,"Bonotto, D.; Penteado, C. A.; Namba, E. L.; Cunali, P. A.; Rached, R. N.; Azevedo-Alanis, L. R.","Prevalence of temporomandibular disorders in rugby players","General dentistry",NA,"0363-6771","",NA,"Rugby is played by more than 3 million people in over 100 countries on 5 continents. Playing rugby can result in 2-3 times more dental and facial trauma than American football or other contact sports. Facial trauma in sports has been associated with the development of temporomandibular disorders (TMDs). This study aimed to determine the prevalence of TMDs in rugby players. The Research Diagnostic Criteria for Temporomandibular Disorders were used to assess 30 rugby players (group 1) and 28 nonathletes (group 2) for TMDs. The chi-square test was used to compare the groups, and a significance level of 5% (P < 0.05) was used for all statistical analyses. The prevalence of TMDs in groups 1 and 2 was 53.3% and 14.3%, respectively (P = 0.002). Myofascial pain was observed in 12 individuals (40%) in group 1 and in 2 individuals (7.1%) in group 2. Seven participants in group 1 (23.3%) received a diagnosis of disc displacement, and 2 participants (7.1%) in group 2 received this diagnosis. Participants in group 1 also reported significantly more tooth clenching than those in group 2 (P = 0.003).","2019","2020-05-20 00:38:24","2020-05-20 00:38:24",NA,"72-74",NA,"4","67",NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,"Medline",NA,NA,NA,"","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L628943280","human; football; sport injury; prevalence; temporomandibular joint disorder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"9","5CP2WYDY","journalArticle",2019,"Lisenchuk, Gennady; Zhigadlo, Gennadii; Tyshchenko, Valeria; Odynets, Tetiana; Omelianenko, Halyna; Pyptiuk, Pavlo; Bessarabova, Olena; Galchenko, L. I. A.; Dyadechko, Igor","Assess psychomotor, sensory-perceptual functions in team-sport games","Journal of Physical Education & Sport",NA,"22478051","",NA,"Purpose. Studies demonstrate to investigate the impact of team-sport gameson the formation of theoretical knowledge and tactical thinking in freshmen students of Zaporizhzhia National University (ZNU). Methods. Overall, 163 freshmen students (57 handball players, 51 football players and 55 basketball players) were enrolled. To assess the influence of training practices in team-sport gameson the level of theoretical knowledge and tactical thinking of ZNU students, we conducted and analyzed the dynamics of the relevant indicators. The recorded data was compared at the beginning and end of the study. The levels of theoretical knowledge and tactical thinking of the students involved in basketball, handball and football was assessed using the innovation computer program. Results. It was observed that most of the investigated characteristics in all studied groups of students steadily improved during the year. The tactical thinking level of student athletes with excellent value in performance football was 15.69%; in handball - 33.33%; in basketball - 14.55%. The theoretical thinking level of student athletes with excellent value in performance football was 19.61%; in handball -36.84%; in basketball - 16.36%. Conclusions. Handball help expedite the flow of thought processes directed at finding efficient ways of problem-solving and achieving goals on the court, and developing a sense of extrapolating the technical actions that may occur during the game. ABSTRACT FROM AUTHOR","2019","2020-05-20 00:08:29","2020-05-20 00:08:29",NA,"1205-1212",NA,"2","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"sph",NA,NA,NA,"","https://gateway.library.qut.edu.au/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=138077666&site=ehost-live&scope=site","football; basketball; *FOOTBALL players; *HANDBALL players; *PERCEPTUAL motor learning; *SPORTS teams; computer program; COMPUTER software; handball; PSYCHOLOGY of students; students",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"10","EBWI8N6V","journalArticle",2019,"Chaaban, C.; Hearn, D.; Goerger, B.; Kong, J.; Padua, D.","Landing kinetics in collegiate female athletes with and without a history of ACL injury","International Journal of Sports Physical Therapy",NA,"21592896","",NA,"Objective: To determine if female collegiate athletes who successfully return to sport following ACL injury (ACLI) differ from their previously uninjured teammates with regard to kinetics during a drop vertical jump (DVJ) task. Methods: Collegiate female soccer and lacrosse players participated in this study. 18 athletes had at least 1 prior ACLI (age=20.6+1.3 yrs; height=169.0+6.0 cm; weight=65.7+6.1 kg), and 40 athletes had no prior ACLI (age=19.5+1.3 yrs; height=166.4+6.4 cm; weight=64.4+8.6 kg). Athletes completed 3 trials of a DVJ task. The involved limb was randomly assigned in those with no prior ACLI. Kinetics were collected via two inground force plates. Peak vertical ground reaction force (vGRF) of the involved limb, peak vGRF limb symmetry index (LSI), and time to peak vGRF of the involved limb were extracted and normalized to body weight (bw). Independent t-tests were calculated to compare each kinetic variable by ACLI history. Results: Those with a prior ACLI had lower peak vGRF in their involved limb (1.92 ± 0.48 bw) than those without ACLI (2.24 ± 0.55 bw); p=0.04. They had less limb symmetry of their peak vGRF (87.9 ± 25.8%) than those without (104.2 ± 21.8%; p=0.02). They reached this peak later after ground contact (58.1 ± 33.7 ms) than those without (44.0 ± 19.3 ms; p=.049). Conclusion: Females who play collegiate sports following ACLI have differences in their landing kinetics compared to their previously uninjured teammates. They have a lesser peak vGRF on their involved limb and take longer to reach this peak. These factors, combined with a greater asymmetry of the magnitude of this peak between limbs, suggest that they continue to offload and delay loading of their involved limb during double limb jumping tasks. Clinical implications: Even athletes who successfully play collegiate sports following ACLI have kinetic differences relative to their uninjured peers. Further research should explore how these differences affect future injury risk and long-term joint health. ABSTRACT FROM AUTHOR","2019","2020-05-20 00:29:24","2020-05-20 00:29:24",NA,"S26-S26",NA,"6","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"sph",NA,NA,NA,"","https://gateway.library.qut.edu.au/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=140307783&site=ehost-live&scope=site","*DYNAMICS; *PHYSIOLOGY; *CONFERENCES & conventions; BRITISH Columbia; *ACROMIOCLAVICULAR joint",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
