"","Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Extra","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body"
"1","TA7N3BRN","journalArticle",2019,"Danielsen, Line D.; Giske, Rune; Peters, Derek M.; Høigaard, Rune","Athletes as ""Cultural Architects"": A Qualitative Analysis of Elite Coaches' Perceptions of Highly Influential Soccer Players","Sport Psychologist",NA,"08884781","",NA,"The main purpose of this study was to gain a better understanding of highly influential players in elite soccer. Semistructured interviews were conducted with 10 elite coaches to determine their perceptions of the characteristics, emergence, and impact of highly influential players. The interview guide was anchored in coaching literature and leadership theory, and after the interview data in this frame were explored, these athletes were labeled cultural architects. The results of the analysis revealed 3 general dimensions of cultural architects in elite teams: (a) personal characteristics, which include elements related to their achievements on the soccer pitch, mind-set, and collective orientation; (b) relationship to the coach, which includes integrity and trust; and (c) intrateam facilitator, which includes their impact as a task-team and social-team influencer. The results represent original findings identifying the characteristics of cultural architects in soccer that are most likely transferable to many other team sports. ABSTRACT FROM AUTHOR","2019","2020-05-20 00:09:03","2020-05-20 00:09:03",NA,"313-322",NA,"4","33",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"sph",NA,NA,NA,"","https://gateway.library.qut.edu.au/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=141454843&site=ehost-live&scope=site","*SOCCER players; group dynamics; *SPORTS teams; *CHARACTER; *SOCCER fields; elite team sport; leadership; MUSICAL perception; PITCHING (Ideas); roles; SEMI-structured interviews",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","5RM94MCQ","journalArticle",2019,"Saward, C.; Morris, J. G.; Nevill, M. E.; Minniti, A. M.; Sunderland, C.","Psychological characteristics of developing excellence in elite youth football players in English professional academies","Journal of sports sciences",NA,"1466-447X","10.1080/02640414.2019.1676526",NA,"This mixed-longitudinal prospective study examined the development of psychological characteristics of developing excellence in relation to the career progression of elite youth football players. In a 20-month period, 111 academy football players aged 11-16 completed the Psychological Characteristics of Developing Excellence Questionnaire (PCDEQ) on 1-5 occasions. This combination of single and repeated assessments resulted in a mixed-longitudinal sample of 226 completed PCDEQs. Players were then prospectively tracked, and their scholarship status assessed at follow-up, at age U17. Multilevel modelling revealed that coping with performance and developmental pressures scores increased with age, and that Category 1-2 academy scholars (4.35 ± 0.61) scored higher than Category 3-4 academy scholars (3.99 ± 0.67) and non-scholars (4.02 ± 0.78) (p < .05). Evaluating performances and working on weaknesses scores increased with age for Category 1-2 academy scholars (U12-U14 vs. U15-U16 = 5.16 ± 0.48 vs. 5.38 ± 0.45), compared to non-scholars (U12-U14 vs. U15-U16 = 5.11 ± 0.59 vs. 5.03 ± 0.71) (p < .05). Imagery use during practice and competition scores decreased with age (U12-U14 vs. U15-U16 = 4.45 ± 0.66 vs. 4.29 ± 0.70) (p < .05). A blend of PCDEs may facilitate optimal career progression. Football academies should develop players' PCDEs, with a particular focus on developing their coping skills and their ability to realistically evaluate performances and work on weaknesses.","2019","2020-05-20 00:39:08","2020-05-20 00:39:08",NA,"1-7",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,"Medline",NA,NA,NA,"; ","http://dx.doi.org/10.1080/02640414.2019.1676526; http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L629578252","football player; human; human experiment; article; soccer; controlled study; prospective study; competition; follow up; questionnaire; juvenile; child; school child; multilevel analysis; age; career; imagery; coping behavior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","WIZJYLZH","journalArticle",2019,"Cooper, S.; Woodford, N. W.; Maron, B. J.; Harris, K. M.; Sheppard, M. N.","A Lethal Blow to the Chest as an Underdiagnosed Cause of Sudden Death in United Kingdom Sports (Football, Cricket, Rugby)","American Journal of Cardiology",NA,"1879-1913 0002-9149","10.1016/j.amjcard.2019.05.050",NA,"Nonpenetrating blunt force trauma to the front of the chest can lead to commotio cordis, a cardiac rhythm disturbance, which can result in cardiac arrest and death. The condition is particularly noted during sport. No series of such cases has been published in the UK. This study is a retrospective analysis of a database of 6000 cases of sudden cardiac death examining commotio cordis in the setting of collapse and death shortly following a blow to the precordium where no structural heart disease was identified at autopsy. Of the 17 cases, 16 were male, and 11 were 18 years old or younger. Eleven occurred whilst playing sport while 6 involved physical interaction including assault. The most common circumstance of death involved a youth being struck in the chest by a ball during sporting activity. In conclusion, this study demonstrates that cases of commotio cordis in the UK follow a similar circumstantial and age profile to those reported in the United States, and indicates that ball sports such as football, cricket, and rugby expose young participants to a similar risk. There is currently no nation-wide registry of deaths occurring during sporting activity in the UK, and although the true incidence of this condition is not currently known, it is most probably under-recognised and underdiagnosed.","2019","2020-05-20 00:29:48","2020-05-20 00:29:48",NA,"808-811",NA,"5","124",NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,"Embase Medline",NA,NA,NA,"; ","http://dx.doi.org/10.1016/j.amjcard.2019.05.050; http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L2002204913","adult; female; human; male; article; football; rugby; priority journal; controlled study; risk factor; United States; autopsy; cause of death; sudden death; United Kingdom; assault; commotio cordis; cricket (sport); thorax blunt trauma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","78WA8K7F","journalArticle",2019,"Somerville, Vaughan; Gill, Nicholas D.; Ross, Alex; Braakhuis, Andrea","Upper respiratory illness in different tiers of rugby union","Sport Sciences for Health",NA,"18247490","",NA,"Rugby union is a team-based, high-impact ball sport with various training loads at different levels which may predispose players to increased but varied illness rates. The aim of the study was to characterise the incidence and duration of upper respiratory illness in school boy (three tiers), amateur, and professional rugby players to assess the typical illness rates across different levels. Participants were asked to complete a questionnaire twice a week for the duration of the active playing season investigating level of activity, well-being, and respiratory-related symptoms. Upper respiratory illness incidence per 1000 non-sick days (± SD) for the three tiers of school boy (Under 14 s, n = 9; 2nd XV, n = 15; 1st XV, n = 24), amateur (n = 18), and professional (n = 24) teams was 11.1 ± 9.7, 11.0 ± 17.8, 22.4 ± 30.9, 12.2 ± 21.8, and 12.4 ± 16.8, respectively. In addition, the duration of illness was 62.3 ± 116.1, 59.6 ± 183.2, 552.1 ± 1138.8, 64.3 ± 173.9, and 32.6 ± 59.7 days per 1000 non-sick days, respectively. This is the first study reporting the respiratory illness rates in different levels of rugby. Overall, the highest incidence observed was in the top echelon of school boy rugby, and this study provides a platform for further robust observational and interventional investigation at this level and others. ABSTRACT FROM AUTHOR","2019","2020-05-20 00:56:15","2020-05-20 00:56:15",NA,"197-205",NA,"1","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"sph",NA,NA,NA,"","https://gateway.library.qut.edu.au/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=135661676&site=ehost-live&scope=site","*RUGBY Union football players; Rugby; Sport; Athletes; *RESPIRATORY infections; DISEASE susceptibility; School; Upper respiratory illness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","HWH5TS4T","journalArticle",2019,"Monseau, A. J.; Balcik, B. J.; Sharon, M.; Roberts, L.; Andrews, R.","Unreported concussion lowers in-game performance of NCAA Division i football players","Clinical Journal of Sport Medicine",NA,"1536-3724","10.1097/JSM.0000000000000724",NA,"Purpose: Many athletes conceal concussion symptoms to continue to play. Even worse, some coaches encourage athletes to conceal symptoms. If athletes and coaches knew that performance after a concussion drops significantly which may hurt the team, athletes may be more prone to report concussion symptoms. Methods: This is a case series of 3 NCAA Division I football players who did not report their concussions until a later time. The play in which the concussion occurred was identified via video review then the players' performance grades, as scored by their position coaches, were recorded both before and after the concussion. Grades from other games were obtained for further comparison. Results: Three injuries were identified and reviewed. The player in the first case had a pre-injury performance score of 76/100 with a post-injury score of 47/100. This was an absolute drop of 29 points for a relative decrease in his in-game performance by 38%. His grades for other games that year averaged 75/100 with a range of 63 to 82. The player in the second case had a pre-injury score of 100/100 with a post-injury score of 60/100. This was an absolute drop of 40 points or a 40% relative decrease in his in-game performance. His grades for other games rarely dropped below 90. The player in the third case had a pre-injury score of 67/100 and post-injury score of 43/100 for an absolute drop of 24 points or a 36% relative decrease in his in-game performance. In his one other game with significant playing time that year, he scored a 77/100. Conclusions: In this case series, we report 3 college football players who suffered concussions but did not immediately disclose their symptoms. As expected, each had a marked decrease in their performance grades after their concussion with a relative decrease of 36%, 38% and 40%, respectively, from their pre-injury grades. Significance: If the performance effect of a concussion can be quantified, athletes and coaches may change their mindset that a concussion can be ""played through."" This case series should serve as a first step in quantifying concussion effects on performance.","2019","2020-05-20 00:56:02","2020-05-20 00:56:02",NA,"132",NA,"2","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,"Embase",NA,NA,NA,"; ","http://dx.doi.org/10.1097/JSM.0000000000000724; http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L629860430","conference abstract; football player; human; male; case report; clinical article; concussion; case study; videorecording; quantitative analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","S52I9B5S","journalArticle",2019,"Ceruso, Rosario; Esposito, Giovanni; D'Elia, Francescsa","Coordination attached to the qualitative aspects of football","Journal of Physical Education & Sport",NA,"22478051","",NA,"As we all know in all sports, therefore also in football, we must consider two fundamental aspects: the qualitative aspects and the quantitative aspects. The former mainly concern the applied technical aspect of the game, while the latter focus more on the conditional abilities associated with the game (strength, endurance and speed), biomechanics and energy recruitment mechanisms. As for the executive part, the qualitative aspects require a good degree of development of the technical-coordinative capacities, which are divided into literature in special coordination capacities and general coordination skills. In this study we will see how coordination is a component strongly linked to football, but above all to its qualitative aspects, through tests administered to a group of young soccer players. ABSTRACT FROM AUTHOR","2019","2020-05-20 00:12:53","2020-05-20 00:12:53",NA,"1773-1776",NA,"","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"sph",NA,NA,NA,"","https://gateway.library.qut.edu.au/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=139461093&site=ehost-live&scope=site","*SOCCER players; *BIOMECHANICS; *MOTOR ability; *SPORTS instruction; *GAMES; ball control; ball transmission; coordination capacity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","SE9H8EYY","journalArticle",2019,"Kluger, N.; Samimi, M.","Tattoos among elite football players during the 2018 FIFA World Cup Russia","Journal of the European Academy of Dermatology and Venereology",NA,"1468-3083 0926-9959","10.1111/jdv.15338",NA,"","2019","2020-05-20 00:49:34","2020-05-20 00:49:34",NA,"e132-e134",NA,"3","33",NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,"Embase Medline",NA,NA,NA,"; ","http://dx.doi.org/10.1111/jdv.15338; http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L626413176","football player; human; priority journal; athletic performance; leadership; letter; body image; personal appearance; personal value; Russian Federation; tattoo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","SCXHBS5D","journalArticle",2019,"Brewer, B. N.; Kaiser, K. A.","Traumatic extension deficit in a middle school football athlete","Clinical Journal of Sport Medicine",NA,"1536-3724","10.1097/JSM.0000000000000728",NA,"History: Twelve-year-old middle school football player presenting with 5 days of traumatic left knee pain and inability to actively extend knee. Initially he suffered an anterior blow injury to his proximal tibial resulting in a hyperextension injury and was unable to finish the game. Pain was sharp and worsening, waxing and waning, 7/10 pain. No radiation or paresthesia. He denies any prior knee injury or pain. No significant alleviating factors noted. Athletic trainer recommended clinic follow up due to extension deficit and effusion at time of injury; however, patient and family did not present despite multiple attempts of contact. Patient presented 4 days later backat football practice with inability to extend knee as well as progressive effusion and soft tissue edema with an antalgic gait and was re-referred to clinic. Physical Exam: Left Knee: soft tissue swelling and effusion noted. Range of Motion: active and passive 15 degrees with extension, 100 degrees with flexion. Pain to palpation over the distal femur. Depression palpated and visualized along the distal femur. Significant guarding limiting exam. Strength is 51 with dorsiflexion and plantarflexion as well as 41 with knee extension and flexion due to pain. Sensation is intact to light touch throughout the lower extremity. 21 dorsalis pedis pulse and posterior tibial pulse. No cyanosis or mottling of the foot. No gross laxity with anterior-posterior drawer at 90 degrees seated or with varus or valgus stress at 30 degrees. Rest of knee maneuvers deferred due to pain. Differential Diagnosis: Bucket handle meniscus tear Patellar fracture Quadriceps tendon rupture Tibial plateau fracture Physis injury Test Results: X-ray of knee: left distal femoral Salter-Harris type II fracture with posterior displacement of distal femoral physis. Final Diagnosis: Posteriorly displaced Salter Harris type II fracture of the distal femoral physis. Discussion: Presentation of traumatic distal femoral pain has a varied differential. When combined with an athlete with open physis the differential also must include injury to these structures. Although rare, our case is an illustration of sequalae from a forced traumatic hyperextension injury to the knee. Evident effusion with extension deficit reinforced the importance of radiographic evaluation. Given the findings of fracture as well as displacement, reduction was required for our patient. Reduced physis injuries also carry a recommendation of fixation. Outcome: He was placed in a locked TROM at angle for comfort and made non-weight bearing. He was referred to the ER and underwent subsequent closed reduction of displaced Salter Harris II distal femur fracture. Two smooth percutaneous Steinmann pins were placed in cross fashion for fixation. He was placed in a long leg cast and made non-weightbearing for 6 weeks. Follow-up: Slow progression of weight bearing status based on post-surgical response. He will need continued monitoring with emphasis at the 6 month mark for leg length discrepancy. Return to play with non-displaced fracture can be around 12 to 14 weeks. However, with displaced fracture with interven-tional fixation return to play is indeterminant.","2019","2020-05-20 00:54:39","2020-05-20 00:54:39",NA,"e21",NA,"2","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,"Embase",NA,NA,NA,"; ","http://dx.doi.org/10.1097/JSM.0000000000000728; http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L629860209","conference abstract; football player; human; male; case report; clinical article; follow up; child; school child; range of motion; knee meniscus rupture; clinical assessment; soft tissue; paresthesia; sensation; touch; stress; knee pain; foot; differential diagnosis; gait; X ray; weight bearing; athletic trainer; edema; palpation; leg length inequality; comfort; middle school; patella fracture; quadriceps tendon rupture; cyanosis; long leg cast; distal femur; closed reduction (procedure); tibial plateau fracture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","UX8MCX9A","journalArticle",2019,"Pshenychna, Liubov; Kondratyuk, Svitlana; Shcherbak, Tetiana; Kuzikov, Borys; Kuzikova, Svitlana","Individual-psychological features of athletes of a football team depending on the game role","Journal of Physical Education & Sport",NA,"22478051","",NA,"Scientific research on the problem of individual and psychological characteristics of athletes has been analyzed and summarized in the article. The results of research of individual-psychological peculiarities of football players depending on the role of the game have been highlighted. The individual-psychological differences of football players of different game roles have been determined. ABSTRACT FROM AUTHOR","2019","2020-05-20 00:26:35","2020-05-20 00:26:35",NA,"166-172",NA,"","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"sph",NA,NA,NA,"","https://gateway.library.qut.edu.au/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=135119777&site=ehost-live&scope=site","*PHYSICAL training & conditioning; football; *ATHLETES; *FOOTBALL players; *FOOTBALL teams; NATIONAL Football League; goalkeeper; defender; game role; individual psychological features; midfielder; personality profile; striker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","3EQV4YN5","journalArticle",2019,"Martín-Barrero, Alberto; Ignacio Martínez-Cabrera, Francisco","El modelo de juego en el fútbol. De la concepción teórica al diseño práctico. / Game models in soccer. From theoretical conception to practical design","Retos: Nuevas Perspectivas de Educación Física, Deporte y Recreación",NA,"15791726","",NA,"In recent years, we have identified a trend towards a change in the concepts and methodologies of soccer training. The traditional paradigm has given way to new proposals that understand the game from a holistic perspective. This break has led to the emergence of new ways of conceiving training. These training methods are close to each sport’s specificity. One of the methods that has raised more interest, due to its repercussions in professional soccer thanks to successful coaches, is the Tactical Periodization. This idea is based on the conception of game model as a fundamental element from which different game patterns grow, each of them needing to be reproduced later in the training. On account of a lack of practical proposals showing clear guidelines for the development of a game model, we try to present a personal design starting from i) a conceptual analysis of the game model, ii) the identification of the elements that this model needs to show, and iii) a practical development of each element, which serves as route map for those professionals who wish to delve into this training approach in soccer. ABSTRACT FROM AUTHOR En los últimos años hemos visto una tendencia hacia un cambio en los conceptos y metodologías de entrenamiento de fútbol. El paradigma tradicional ha dado paso a nuevas propuestas que entienden el juego desde un plano holístico. Esta ruptura ha supuesto la aparición de nuevas formas de concebir el entrenamiento, emergiendo métodos de entrenamiento que se acercan a la especificidad del deporte. A día de hoy, contamos con diversos métodos de trabajo, entre los cuales podríamos citar el microciclo estructurado y la periodización táctica como lo que mayor interés y repercusión han suscitado debido a su utilización por entrenadores de éxito. En este sentido, la periodización táctica se fundamenta en la concepción del modelo de juego como elemento fundamental de donde parten los diferentes patrones de juego que deben ser reproducidos posteriormente en el entrenamiento. Debido a la falta de propuesta prácticas que manifiesten pautas claras para el desarrollo de un modelo de juego, en este trabajo trataremos de llevar a cabo un diseño propio a partir de i) un análisis conceptual sobre el modelo de juego, ii) identificación de los elementos que este debe de contener y iii) desarrollo práctico de cada uno de los elementos que sirva como hoja de ruta para aquellos profesionales que quieran profundizar en esta forma de concebir el entrenamiento en fútbol. ABSTRACT FROM AUTHOR","2019","2020-05-20 00:19:06","2020-05-20 00:19:06",NA,"543-551",NA,"36","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"sph",NA,NA,NA,"","https://gateway.library.qut.edu.au/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=137606762&site=ehost-live&scope=site","soccer; fútbol; game model; modelo de juego; periodización táctica; tactical periodization",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
